Hotel Name,Hotel Address,Price Details,Plan Title,Plan Description,Plan Prices
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【30連泊割】鳥栖ICより車で約6分◆青空駐車場無料◆オフィス利用や長期滞在に◆素泊まり◆,"30泊以上の連泊に対応した特別割引プランです。
30泊未満に変更の場合、返金は致しかねますので予めご了承ください。

長期出張・単身赴任でお部屋を探している方、簡易オフィスとしてご利用されたい方へおすすめのプランです。
...","4,546円～13,000円/人（消費税込5,000円～14,300円/人）"
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【21日前早期割】4連泊以上でお得◆エコステイ◆鳥栖ICより車で約6分◆朝食付◆,"■21日前まで×4連泊以上でおトク■
4連泊以上の連泊宿泊に対応した特別割引プランです。

【注意事項】
本プランは、清掃無しのプランです。
滞在時の客室清掃が必要な場合、別途料金「清掃代　1，000円（税込）」を頂戴い...","5,819円～10,364円/人（消費税込6,400円～11,400円/人）"
コンフォートイン鳥栖(旧チサンイン鳥栖),佐賀県 鳥栖,"2,455円～（消費税込2,700円～）",【開業記念15％OFF】鳥栖ICより車で約6分◆青空駐車場無料◆素泊まり◆,"■期間限定■開業記念特別プラン

最新のコンフォートブランドをオトクに体験していただけるプランをご用意！

※本プランは朝食付きではありません。

●コンフォートイン鳥栖のこだわり

〈停めやすい無料駐車場〉
広々とした...","4,637円～9,273円/人（消費税込5,100円～10,200円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀吉野ヶ里店,佐賀県 鳥栖,"3,500円～（消費税込3,850円～）",【朝食無料】スタンダードプラン,"HOTEL AZ のスタンダードなプランです。
【朝食】 6：00～10：00（最終入場 9：30）

ホテルのご案内
・365日いつでも同一価格
・安心のAZホテルチェーン
・朝食無料、駐車場無料（132台）、Wi-F...","3,500円/人（消費税込3,850円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀吉野ヶ里店,佐賀県 鳥栖,"3,500円～（消費税込3,850円～）",【夕食付き】スタンダードプラン　※朝食無料,"当館人気の夕食バイキングが付いたプランです。
【夕食】18：00～22：00（最終入場21：30）
【朝食】 6：00～10：00（最終入場 9：30）

ホテルのご案内
・365日いつでも同一価格
・安心のAZホテルチ...","4,373円/人（消費税込4,810円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀鳥栖店,佐賀県 鳥栖,"3,900円～（消費税込4,290円～）",【夕食付き】スタンダードプラン　※朝食無料,"２食付のスタンダードなプランです☆
お食事はレストランにて、和洋中のディナーバイキング食べ放題♪

【レストラン営業時間】　
　　
　朝食　 6：00～10：00　和洋バイキング（9：30　最終入店）
　夕食　18：00...","4,273円/人（消費税込4,700円/人）"
ＨＯＴＥＬ　ＡＺ　佐賀鳥栖店,佐賀県 鳥栖,"3,900円～（消費税込4,290円～）",【朝食無料】スタンダードプラン,"朝食バイキング付きのスタンダードなプランです。

（朝食営業時間　6：00～10:00 ※9：30最終入店）

当ホテルは通年同一料金なので安心でお得です!

ビジネス利用・ご家族・ご友人とのご旅行に♪　
ご予約お待ちし...","3,400円/人（消費税込3,740円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【さき楽28】２８日前の早期予約でお得に！◇素泊り◇,"28日前のご予約がお得な素泊まりプランです。

※こちらのプランは朝食は含まれておりません。


【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／200円
■満車時は近郊...","3,773円/人（消費税込4,150円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【さき楽21】２１日前の早期予約でお得に！◆朝食付◆,"21日前のご予約がお得な宿泊プランです。

【朝食付】
■定食
■１Ｆレストラン
■営業時間　6:30-9:30 

【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／20...","5,046円/人（消費税込5,550円/人）"
グリーンリッチホテル　鳥栖駅前,佐賀県 鳥栖,"3,773円～（消費税込4,150円～）",【連泊割】２連泊～４連泊　◇素泊り◇,"2連泊～４連泊の方にお勧め★

※こちらのプランは朝食は含まれておりません。

【駐車場】　計１７台
■ホテル敷地内平面駐車場／200円
■第２駐車場～ホテルから約７０メートル／200円
■満車時は近郊駐車場をご案内致し...","4,046円～5,455円/人（消費税込4,450円～6,000円/人）"
ホテルルートイン鳥栖駅前,佐賀県 鳥栖,"4,705円～（消費税込5,175円～）",【女性限定】選べるプレミアム特典付レディースプラン　★人工温泉完備/朝食付き★,"□◆━━━━━━━━━━━━━━━━━━━━━ 
　　　　　レディースプラン☆選べる特典付き
　　　━━━━━━━━━━━━━━━━━━━━━◆□
.:*・゜＋.。.:*・゜＋.。.:*・゜＋.。.:*・゜＋.。.:*・...","5,500円～8,000円/人（消費税込6,050円～8,800円/人）"
ホテルルートイン鳥栖駅前,佐賀県 鳥栖,"4,705円～（消費税込5,175円～）",【連泊割】3泊以上連泊プラン♪　★人工温泉完備/朝食バイキングサービス★,"□◆━━━━━━━━━━━━━━━━━━━ 
　　　　　　　連泊プラン（３泊以上）
　　　━━━━━━━━━━━━━━━━━━━◆□

※ご宿泊料金は日付ごとに変動いたします。
※３泊未満へ減泊となった場合、通常料金の差...","6,364円～8,546円/人（消費税込7,000円～9,400円/人）"
ホテルルートイン鳥栖駅前,佐賀県 鳥栖,"4,705円～（消費税込5,175円～）",■佐賀うれしの茶美肌石鹸付プラン　★人工温泉完備/朝食付き★,"□◆━━━━━━━━━━━━━━━━━━━ 
　　　　　うれしの茶の美肌石鹸付プラン
　　　━━━━━━━━━━━━━━━━━━━◆□

美しい茶畑が広がる西九州・佐賀県嬉野で
霧と澄んだ空気、太陽の光を浴びて育まれたう...","5,387円～7,887円/人（消費税込5,925円～8,675円/人）"
ホテルビアントス,佐賀県 鳥栖,"2,651円～（消費税込2,916円～）",【BEST RATE】朝食付プラン★和洋バイキングで朝から元気を充電！Wi-Fi完備＆駐車場無料★,"・～・～・～・～・～・～・～・～・～・～・～・～・～・～・～・～・

朝からしっかり食べたいお客様に人気の朝食付きプランです。
和食・洋食お好みでお選びいただけるバイキングでご用意しております♪

ビジネスでの利用はもち...","3,673円～8,855円/人（消費税込4,040円～9,740円/人）"
ホテルビアントス,佐賀県 鳥栖,"2,651円～（消費税込2,916円～）",鳥栖プレミアム・アウトレットクーポン付き！朝食付きプラン,"[ プラン内容 ]
さわやかな空気と明るい陽光が似合う
カリフォルニア州南部の街をイメージした鳥栖プレミアム・アウトレットでお買い物するならコチラのプラン♪

★ファッションから飲食まで１００店舗近い店舗が並びます
　１...","3,855円～9,037円/人（消費税込4,240円～9,940円/人）"
ホテルビアントス,佐賀県 鳥栖,"2,651円～（消費税込2,916円～）",【早期割引14×朝食付】カード決済限定★2週間前までの予約はコチラ！和洋バイキングの朝食で元気充電♪,"▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼

14日前までの予約でお得にステイ♪
ビジネス・観光で鳥栖周辺へお越しの予定が決まれば
早めの予約がおススメです！
こちらは毎日の朝食付のプランです。

▲▲▲▲▲▲▲▲▲▲...","3,551円～9,000円/人（消費税込3,906円～9,900円/人）"
ホテル　サンルートパティオ五所川原,青森県 津軽半島・五所川原,"4,819円～（消費税込5,300円～）",★ウエルカムドリンク付きプラン(朝食付き)　★駐車場無料★,"◇◆━━━━━━━━━━━━━━━

   ようこそパティオへ
350MLアサヒ缶ビールとおつまみ付

━━━━━━━━━━━━━━━◇◆
★チェックイン  15:00 
チェックアウト   10:00
★駐車場無料
 ...","7,637円/人（消費税込8,400円/人）"
ホテル　サンルートパティオ五所川原,青森県 津軽半島・五所川原,"4,819円～（消費税込5,300円～）",ベーシックプラン(素泊り)　★駐車場無料★,"◇◆━━━━━━━━━━━━━   
  
   素泊りのプランです。

━━━━━━━━━━━━━◇◆


★チェックイン  15:00 
チェックアウト   10:00
★駐車場無料
  (チェックイン前のお荷物、お...","6,273円/人（消費税込6,900円/人）"
ホテル　サンルートパティオ五所川原,青森県 津軽半島・五所川原,"4,819円～（消費税込5,300円～）",ポイントザクザク！楽天ポイント10倍付きプラン(素泊り)　★駐車場無料★,"◇◆━━━━━━━━━━━
 
 楽天ポイント10倍

━━━━━━━━━━━◇◆
★チェックイン  15:00 
チェックアウト   10:00
★駐車場無料
  (チェックイン前のお荷物、お車のお預かりも可能でござい...","6,364円/人（消費税込7,000円/人）"
ホテルサンルート五所川原,青森県 津軽半島・五所川原,"5,091円～（消費税込5,600円～）",【ポイント１０倍】ベーシックプラン,"※楽天ＰＴ、ＣＰご利用分の領収書はお出ししておりません。
支払い金額のみの領収書となります。ご了承くださいませ。

【　プラン内容　】ベーシックプラン　素泊まり
ポイント重視の方はこちらのプランをどうぞ！

■宿泊者温泉...","5,819円/人（消費税込6,400円/人）"
ホテルサンルート五所川原,青森県 津軽半島・五所川原,"5,091円～（消費税込5,600円～）",【ポイント５倍】シングルプラン,"※楽天ＰＴ、ＣＰご利用分の領収書はお出ししておりません。
支払い金額のみの領収書となります。ご了承くださいませ。

【　プラン内容　】シングルプラン　通常料金よりお安く、なのにポイントは５倍のプランです。

■宿泊者温泉...","5,610円/人（消費税込6,170円/人）"
ホテルサンルート五所川原,青森県 津軽半島・五所川原,"5,091円～（消費税込5,600円～）",【ポイント１０倍】ベーシックプラン（朝食付）,"※楽天ＰＴ、ＣＰご利用分の領収書はお出ししておりません。
支払い金額のみの領収書となります。ご了承くださいませ。

【　プラン内容　】ベーシックプラン朝食付き

■宿泊者温泉浴場無料■


【２０２２年４月１日以降にご宿...","6,728円/人（消費税込7,400円/人）"
ＥＮリゾート　久米島イーフビーチホテル＜久米島＞,沖縄県 久米島,"3,182円～（消費税込3,500円～）",【さき楽60】2食付き☆夜のプールサイドテラスでお肉を頬張る☆イーフ♪エンジョイ♪リゾートステイ♪,"【プランの特徴】
ご到着60日前の早めのご予約で、通常プランと比べて最大25％割引が適用されるプランです。
ご宿泊、ご夕食（グリルテーブル）、ご朝食ビュッフェがセットになり、ホテルステイを存分にお楽しみいただける魅惑の贅...","8,230円～16,171円/人（消費税込9,052円～17,788円/人）"
ＥＮリゾート　久米島イーフビーチホテル＜久米島＞,沖縄県 久米島,"3,182円～（消費税込3,500円～）",2食付き・夜はプールサイドテラスでお肉を頬張る☆リゾートステイ♪,"ご宿泊、ご夕食（グリルテーブル）、ご朝食ビュッフェがセットになり、ホテルステイを存分にお楽しみいただける魅惑の贅沢プラン♪

☆ご予約特典（当サイト限定）☆
レイトチェックアウト1時間無料
★★会員登録がさらにお得★★
...","8,891円～16,337円/人（消費税込9,780円～17,970円/人）"
ＥＮリゾート　久米島イーフビーチホテル＜久米島＞,沖縄県 久米島,"3,182円～（消費税込3,500円～）",【さき楽】最大25％オフ！海遊び＆夏休み旅行にはコレ！90日前までの予約で早期割引ステイプラン朝食付,"【プランの特徴】
ご到着90日前の早めのご予約で、通常プランと比べて割引が適用されるプランです。

【イーフビーチホテルって？】
”日本の渚100選”イーフビーチまで徒歩10秒！久米島で一番イーフビーチに近いホテル！
「...","5,584円～8,687円/人（消費税込6,142円～9,555円/人）"
リゾートホテル　久米アイランド　＜久米島＞,沖縄県 久米島,"3,093円～（消費税込3,402円～）",南国リゾートで自由気ままに滞在♪ホテルシェフ自慢の夕食付（夕食のみ）,"◆南国リゾートで自由気ままに滞在◆夕食付×ベーシックプラン◆

イーフビーチまで徒歩１分！
手つかずの大自然が数多く残る久米島は
ゆっくりとリゾートを楽しみたい方にピッタリ♪
スポーツ施設やアクティビティも充実しておりま...","10,773円～16,000円/人（消費税込11,850円～17,600円/人）"
リゾートホテル　久米アイランド　＜久米島＞,沖縄県 久米島,"3,093円～（消費税込3,402円～）",【さき楽30】ダイバーに嬉しい♪ 洗い場、機材干し場から近いお部屋確約プラン（食事なし）,"ダイバーの皆様には嬉しい♪洗い場、機材干し場から近いお部屋を確約するプランです。
このプランなら、早期予約で少しお得にご利用いただけます。

島を囲むように36カ所ものダイビングスポットがある『久米島』。
珊瑚は260種...","7,046円～12,364円/人（消費税込7,750円～13,600円/人）"
リゾートホテル　久米アイランド　＜久米島＞,沖縄県 久米島,"3,093円～（消費税込3,402円～）",久米島の久米仙・米島酒造コラボレーション久米島泡盛ルーム（食事なし）,"株式会社久米島の久米仙、米島酒造株式会社とコラボレーション「久米島泡盛ルーム」
一日限定１部屋のリニューアルされたお部屋で、まずはお部屋の雰囲気と泡盛の良さをお手軽に感じていただけるお得なプランとなっております！
ベッド...","6,137円～11,364円/人（消費税込6,750円～12,500円/人）"
ファミリーロッジ旅籠屋・寒河江店,山形県 寒河江・月山,"3,046円～（消費税込3,350円～）",レギュラープラン（禁煙）,25㎡の部屋に、幅1.5m以上のクィーンサイズベッドが2台。風呂トイレ別で、足を伸ばせる浴槽、洗浄機能付きのトイレがあります。またWiFiを完備しています。駐車場は1部屋につき1台分無料です。午前7～9時まで朝軽食(コー...,"5,000円～8,819円/人（消費税込5,500円～9,700円/人）"
ファミリーロッジ旅籠屋・寒河江店,山形県 寒河江・月山,"3,046円～（消費税込3,350円～）",レギュラープラン（喫煙可）,25㎡の部屋に、幅1.5m以上のクィーンサイズベッドが2台。風呂トイレ別で、足を伸ばせる浴槽、洗浄機能付きのトイレがあります。またWiFiを完備しています。駐車場は1部屋につき1台分無料です。午前7～9時まで朝軽食(コー...,"5,000円～8,819円/人（消費税込5,500円～9,700円/人）"
ホテルフォルクローロ大湊＜JR東日本ホテルズ＞,青森県 下北・大間・むつ,"6,000円～（消費税込6,600円～）",下北半島の観光に便利☆ご夫婦カップルプラン,"♪　むつ市JR大湊駅隣接・徒歩1分の好立地ホテルで忙しい朝もゆっくりお過ごしいただけます　♪
～下北半島の観光の拠点として、ご夫婦で、カップルで快適なご滞在をお楽しみ下さいませ！～

※料金はシーズンごとに異なりますので...","6,091円～6,746円/人（消費税込6,700円～7,420円/人）"
ホテルフォルクローロ大湊＜JR東日本ホテルズ＞,青森県 下北・大間・むつ,"6,000円～（消費税込6,600円～）",17時からのチェックイン！レイトチェックインプラン,"17時からのレイトチェックインプランとなっております。

♪　むつ市大湊駅隣接徒歩1分の好立地で忙しい朝もゆっくりお過ごしいただけます　♪
～下北半島の観光の拠点として、ツインで快適なご滞在をお楽しみ下さいませ！～
※料...","6,164円/人（消費税込6,780円/人）"
ホテルフォルクローロ大湊＜JR東日本ホテルズ＞,青森県 下北・大間・むつ,"6,000円～（消費税込6,600円～）",【1，000円分売店利用券付♪】お得な出張応援プラン1000,"本州最北端の地、ホテルフォルクローロ大湊にお越しのお客さまには当ホテル内売店のみでお使いいただける利用券をチェックイン時にお渡しいたします！
※明細にプラン名は表記されません。
※利用券の現金への引換・返金は出来ません
...","7,000円～7,655円/人（消費税込7,700円～8,420円/人）"
御宿　結の庄（共立リゾート）,岐阜県 白川郷,"13,000円～（消費税込14,300円～）",夕食グレードアップ～“のどぐろの塩焼き“”飛騨牛”で贅沢旅♪　最大21時間滞在の特典付★1泊2食～,"＜＜夕食グレードアップ！！＞＞

飛騨牛や飛騨の郷土料理を中心に、山の幸や海の幸を厳選し、四季折々の旬を愉しむ和食会席料理に
富山湾で獲れた脂がのった「のどぐろ」の塩焼きを追加でご提供♪
さらに最大21時間滞在可能なプラ...","25,000円～73,000円/人（消費税込27,500円～80,300円/人）"
御宿　結の庄（共立リゾート）,岐阜県 白川郷,"13,000円～（消費税込14,300円～）",【楽天月末セール】飛騨牛を味わう２食付きプラン♪　大自然に抱かれて過ごす温泉宿,"共立リゾートで堪能する、世界遺産 白川郷。

【天然温泉　ゆるりの湯　御宿　結の庄】

日本全国の名勝・名湯の地に癒しの湯宿と
リゾートホテルを展開する「共立リゾート」が
記念すべき30棟目オープンに選んだ地は、
日本が...","18,000円～27,000円/人（消費税込19,800円～29,700円/人）"
御宿　結の庄（共立リゾート）,岐阜県 白川郷,"13,000円～（消費税込14,300円～）",【1泊朝食】特製朴葉味噌が美味しい自慢の朝食☆観光後の遅めのご到着もOK♪＼お夜食のラーメン無料♪／,"遅めのご到着もOK♪
≪　特製朴葉味噌が美味しい♪１泊朝食付プラン　≫

言わずと知れた世界遺産「白川郷」。

ミシュランで3つ星として掲載された日本を代表する人気観光地で、
田んぼに囲まれた中に茅葺屋根の家が点在する山...","16,000円～64,000円/人（消費税込17,600円～70,400円/人）"
ホテル　ルートイン由利本荘,秋田県 由利本荘・鳥海山,"5,205円～（消費税込5,725円～）",【納得】早割28日前プラン～早めのご予約でお得に宿泊～,"◆◆◆２８日前までのご予約でちょっぴりお得に◆◆◆

こちらのプランからのご予約で、通常料金よりもちょっぴりお得になります。早めのご予定がお決まりの方にぴったりのプランです。

※日曜・祭日は夕食レストランは定休日となっ...","6,319円/人（消費税込6,950円/人）"
ホテル　ルートイン由利本荘,秋田県 由利本荘・鳥海山,"5,205円～（消費税込5,725円～）",【当館人気】QUOカード1000円付プラン♪,"1泊1室に付きＱＵＯカード1000円分が付くプランです♪

コンビニで！ガソリン代で！ドラッグストアで！ＱＵＯカードは、全国のQUOカード加盟店でご利用いただける便利なプリペイドカード。
毎日使う整髪料や化粧品、新聞、雑...","8,137円～12,000円/人（消費税込8,950円～13,200円/人）"
ホテル　ルートイン由利本荘,秋田県 由利本荘・鳥海山,"5,205円～（消費税込5,725円～）",【Web限定】ルートイングループ共通お食事券（１０００円）付プラン,"1泊1名様につき1，000円分のお食事券が付く
ルートイングループ共通お食事券（1000円）付きプラン♪♪


使い方はあなた次第☆
ビジネスに！旅行に！色々なシーンでご利用頂けます！！

≪ホテルからのお願い≫
・本券...","7,955円～11,819円/人（消費税込8,750円～13,000円/人）"
ホテルルートイン新城,愛知県 奥三河・新城・湯谷温泉,"5,182円～（消費税込5,700円～）",【バイキング朝食付き】スタンダードプラン *朝食付き*大浴場完備*WiFi完備*,"ご朝食付きのスタンダードなご宿泊プランです！

●○●無料サービスのご案内●○●
【ご朝食】和洋食のバイキング朝食をお召し上がりいただけます。
・場所⇒ホテル1階 レストラン「和み」
・ご利用時間⇒6:30～9:00

...","5,910円/人（消費税込6,500円/人）"
ホテルルートイン新城,愛知県 奥三河・新城・湯谷温泉,"5,182円～（消費税込5,700円～）",【清掃なし！WOWOW視聴無料】連泊アメニティプラン♪ *朝食付き*大浴場完備*WiFi完備*,"清掃はいらないからそのぶん安く泊まりたい！

２泊以上ご宿泊のお客様で、清掃はなし。
アメニティ類（タオル・歯ブラシ・くし・髭剃り・紙スリッパ・綿棒等）をお部屋のドア前にご用意します。

お使いになったタオルやゴミはドア...","6,910円/人（消費税込7,600円/人）"
ホテルルートイン新城,愛知県 奥三河・新城・湯谷温泉,"5,182円～（消費税込5,700円～）",【早割30】30日前までの予約で割引プラン★ *朝食付き*大浴場完備*WiFi完備*,"◎◎＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝◎◎
30日前までにご予約のお客様に適用される割引プランです
◎◎＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝◎◎

●○●無料サービスのご案内●○●
【ご朝食】和洋食のバ...","5,319円/人（消費税込5,850円/人）"
休暇村　茶臼山高原,愛知県 奥三河・新城・湯谷温泉,"10,000円～（消費税込11,000円～）",紅葉シーズン限定！【2024年度10/12～11/30】　茶臼山高原　秋色ビュッフェ,"●10月12日～11月30日の期間限定の高原ビュッフェプランです

茶臼山高原周辺は奥三河・南信州・西遠州に囲まれており『三遠南信地区』と呼ばれています。
近隣から届く新鮮な獲れたて野菜、牛・豚・鶏・川魚といった高原の恵...","12,728円～15,728円/人（消費税込14,000円～17,300円/人）"
休暇村　茶臼山高原,愛知県 奥三河・新城・湯谷温泉,"10,000円～（消費税込11,000円～）",【2024年9/1～10/11】大自然満喫！秋の山里旬彩コース,"2024年のスタンダード会席プラン！
愛知県最高峰の茶臼山（1415ｍ）に広がる高原にあり県内で最高地の宿。
標高１２４０ｍの当館は、名古屋郊外からも約２時間でお越しいただける身近なスポットながら、南アルプス連峰を一望で...","10,910円～13,910円/人（消費税込12,000円～15,300円/人）"
